ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
